表章項目 コード,表章項目,時間軸 コード,時間軸,全国、都道府県、21大都市 コード,全国、都道府県、21大都市,腐朽・破損の有無 コード,腐朽・破損の有無,住宅の建て方 コード,住宅の建て方,建物の構造 コード,建物の構造,賃貸・売却用及び二次的住宅を除く空き家
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,1.0,一戸建,1.0,木造,106300.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,1.0,一戸建,2.0,非木造,3900.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,2.0,長屋建,1.0,木造,7800.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,2.0,長屋建,2.0,非木造,3000.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,3.0,共同住宅,1.0,木造,12600.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,3.0,共同住宅,2.0,非木造,28400.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,29500.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,3000.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,3100.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,3900.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,76700.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,2800.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,4700.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,2600.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,9400.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,24500.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,1.0,一戸建,1.0,木造,47100.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,1.0,一戸建,2.0,非木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,2.0,長屋建,1.0,木造,1300.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,3.0,共同住宅,1.0,木造,2200.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,3.0,共同住宅,2.0,非木造,3000.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,14900.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,32200.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1600.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,2600.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,1.0,一戸建,1.0,木造,46200.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,1.0,一戸建,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,2.0,長屋建,1.0,木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,3.0,共同住宅,1.0,木造,1800.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,3.0,共同住宅,2.0,非木造,4200.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,12100.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,34100.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1300.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,3500.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,0.0,総数,1.0,一戸建,1.0,木造,39000.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,0.0,総数,1.0,一戸建,2.0,非木造,1000.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,0.0,総数,2.0,長屋建,1.0,木造,1600.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,0.0,総数,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,0.0,総数,3.0,共同住宅,1.0,木造,2700.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,0.0,総数,3.0,共同住宅,2.0,非木造,7500.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,10600.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,1400.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,28400.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,1200.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,2200.0
03-2023,空き家数【戸】,2023000000.0,2023年,4000.0,宮城県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,6100.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,0.0,総数,1.0,一戸建,1.0,木造,39900.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,0.0,総数,1.0,一戸建,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,0.0,総数,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,0.0,総数,2.0,長屋建,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,0.0,総数,3.0,共同住宅,1.0,木造,1000.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,0.0,総数,3.0,共同住宅,2.0,非木造,1300.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,11700.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,28200.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,5000.0,秋田県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,0.0,総数,1.0,一戸建,1.0,木造,31000.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,0.0,総数,1.0,一戸建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,0.0,総数,2.0,長屋建,1.0,木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,0.0,総数,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,0.0,総数,3.0,共同住宅,1.0,木造,1700.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,0.0,総数,3.0,共同住宅,2.0,非木造,2300.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,7700.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,23300.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1200.0
03-2023,空き家数【戸】,2023000000.0,2023年,6000.0,山形県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,2100.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,0.0,総数,1.0,一戸建,1.0,木造,51700.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,0.0,総数,1.0,一戸建,2.0,非木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,0.0,総数,2.0,長屋建,1.0,木造,1000.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,0.0,総数,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,0.0,総数,3.0,共同住宅,1.0,木造,2000.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,0.0,総数,3.0,共同住宅,2.0,非木造,6300.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,11300.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,40400.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,1000.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1800.0
03-2023,空き家数【戸】,2023000000.0,2023年,7000.0,福島県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,5600.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,0.0,総数,1.0,一戸建,1.0,木造,77900.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,0.0,総数,1.0,一戸建,2.0,非木造,2300.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,0.0,総数,2.0,長屋建,1.0,木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,0.0,総数,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,0.0,総数,3.0,共同住宅,1.0,木造,1900.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,0.0,総数,3.0,共同住宅,2.0,非木造,9400.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,18900.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,1900.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,59000.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,1700.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1800.0
03-2023,空き家数【戸】,2023000000.0,2023年,8000.0,茨城県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,7500.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,0.0,総数,1.0,一戸建,1.0,木造,48700.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,0.0,総数,1.0,一戸建,2.0,非木造,4300.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,0.0,総数,2.0,長屋建,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,0.0,総数,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,0.0,総数,3.0,共同住宅,1.0,木造,1600.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,0.0,総数,3.0,共同住宅,2.0,非木造,8700.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,13000.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,0.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,35600.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,3700.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1500.0
03-2023,空き家数【戸】,2023000000.0,2023年,9000.0,栃木県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,8100.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,0.0,総数,1.0,一戸建,1.0,木造,60000.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,0.0,総数,1.0,一戸建,2.0,非木造,2000.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,0.0,総数,2.0,長屋建,1.0,木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,0.0,総数,2.0,長屋建,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,0.0,総数,3.0,共同住宅,1.0,木造,1900.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,0.0,総数,3.0,共同住宅,2.0,非木造,7300.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,15900.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,10000.0,群馬県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,200.0
